#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
5500,-11299.431830097607,1829.2534156507695,-9470.178414446837,307.48933091581927,0
6000,-11286.398312981642,1861.7059028647661,-9424.692410116877,312.94444910480786,46.1
6500,-11278.665164847886,1820.054921033242,-9458.610243814644,305.9431050451024,46.6
7000,-11183.278553061275,1776.3083174420174,-9406.970235619257,298.58949632527407,46.7
7500,-11173.251465315414,1703.4214809642613,-9469.829984351152,286.3375445785323,46.1
8000,-11154.157917630371,1805.33745429991,-9348.820463330461,303.469164605856,42.9
8500,-11237.849469935196,1741.1108699092156,-9496.73860002598,292.67296256390046,42.7
9000,-11229.249541080144,1788.937339175816,-9440.312201904328,300.712378485735,42.9
9500,-11217.623395195325,1840.1982428247363,-9377.42515237059,309.329107491289,43
10000,-11075.693693333496,1657.4046647286027,-9418.289028604893,278.60232325046655,43.1
10500,-11072.294199481343,1810.9094753419415,-9261.384724139401,304.40579646200246,43.3
11000,-10984.512223087237,1817.9051869399689,-9166.607036147268,305.5817443433364,42.4
11500,-11239.804223601659,1781.6383919833759,-9458.165831618284,299.48545805503295,42
12000,-11346.891082364637,1825.0536518196673,-9521.837430544969,306.78336936922256,42.3
12500,-11117.487181208431,1868.2506878031113,-9249.23649340532,314.0445982281942,42.4
13000,-11127.084781901493,1829.2496733677817,-9297.83510853371,307.4887018547596,42.5
13500,-11164.297509583774,1731.921762884423,-9432.37574669935,291.12831470560354,42.5
14000,-11180.595463035957,1872.1358641269726,-9308.459598908985,314.6976790195667,42
14500,-11183.084059215802,1753.0069918945344,-9430.077067321268,294.67264754929505,41.7
15000,-11266.810757506983,1892.5189218062121,-9374.291835700771,318.12397999797884,41.8
15500,-11200.16178566409,1823.8765105071984,-9376.285275156892,306.5854971709434,41.9
16000,-11281.501114978768,1778.674676696229,-9502.826438282538,298.98727074928695,42
16500,-11390.369188232313,1884.5594601560138,-9505.8097280763,316.7860300363553,42
17000,-11322.481196669056,1737.7808615630843,-9584.700335105972,292.11320303056556,41.7
17500,-11255.121326025177,1695.093696722433,-9560.027629302744,284.9376812339447,41.5
18000,-11266.185241119743,1809.2781540285314,-9456.907087091211,304.13157863363733,41.6
18500,-11079.183569094981,1696.277142018181,-9382.9064270768,285.13661310366354,41.6
19000,-11170.862851792856,1797.2562921599097,-9373.606559632946,302.1107573353319,41.7
19500,-11074.954170555613,1864.25176048638,-9210.702410069232,313.3723964028581,41.8
20000,-11063.71588948599,1876.557901509173,-9187.157987976816,315.441003757574,41.6
20500,-11123.289922065835,1814.1580591906902,-9309.131862875145,304.9518689009161,41.2
21000,-11168.135540320083,1781.1220284285,-9387.013511891582,299.39865964720184,41.3
21500,-11193.117815752517,1746.2451504818948,-9446.872665270623,293.53601220181275,41.4
22000,-11300.500870105088,1901.2651076970935,-9399.235762407994,319.59417479146276,41.5
22500,-11301.224468813669,1828.3754135928286,-9472.84905522084,307.341742690465,41.7
23000,-11172.142999069849,1813.6079540488554,-9358.535045020993,304.8593986829852,41.4
23500,-11027.93690922135,1887.5298036682555,-9140.407105553093,317.2853315171424,41.1
24000,-11009.451819108914,1812.8007728220182,-9196.651046286896,304.7237151230998,41.2
24500,-10924.740961723168,1769.1282233989598,-9155.612738324207,297.3825545782625,41.3
25000,-11074.356965045887,1779.0547616091396,-9295.302203436748,299.0511613259354,41.3
25500,-11252.451844706306,1822.8107009096839,-9429.641143796622,306.4063393368132,41.4
26000,-11239.123578493187,1859.8515018069866,-9379.2720766862,312.63273256754314,41.2
26500,-11212.761245286121,1749.7220113309556,-9463.039233955165,294.1204569851424,41.1
27000,-11183.504368817647,1796.53967997784,-9386.964688839806,301.99029802744957,41.2
27500,-11288.892168741559,1897.3804576141117,-9391.511711127447,318.94118245883226,41.2
28000,-11421.21059109073,1923.8638704501598,-9497.346720640571,323.39292589888845,41.3
28500,-11285.209499214676,1845.6246554688153,-9439.58484374586,310.2412632259319,41.3
29000,-11292.804345702927,1754.144476569816,-9538.659869133111,294.86385364394374,41.2
29500,-11382.000638700401,1835.4917796009581,-9546.508859099444,308.5379720393732,41
30000,-11231.878810865432,1755.0175471613795,-9476.861263704051,295.01061291182054,41.2
30500,-11355.222858839834,1632.371547520773,-9722.85131131906,274.3943680294375,41.2
31000,-11418.24894981419,1749.3454953558023,-9668.903454458386,294.05716633099445,41.3
31500,-11332.073038468969,1684.319125897516,-9647.753912571452,283.1265239904962,41.3
32000,-11171.34330648316,1702.1970832357958,-9469.146223247364,286.1317287877405,41.2
32500,-11343.047831894351,1782.1649817673417,-9560.882850127009,299.57397544631044,41.1
33000,-11257.26254366147,1794.2606367340038,-9463.001906927468,301.60720103488444,41.1
33500,-11158.641337321204,1781.4170670276046,-9377.224270293598,299.448254318261,41.2
34000,-11179.874004507545,1731.0368624018618,-9448.837142105684,290.97956688587453,41.2
34500,-11268.342810827078,1782.905514434637,-9485.437296392442,299.69845568094587,41.3
35000,-11120.676619833383,1839.4797843259435,-9281.196835507439,309.2083378258099,41.2
35500,-11313.39380720528,1764.5873170331683,-9548.806490172112,296.6192484949051,41.1
36000,-11404.226142884323,1740.4005727107883,-9663.825570173534,292.5535647765698,41.1
36500,-11300.521942385629,1816.4475662893835,-9484.074376096245,305.33672482075804,41.1
37000,-11291.148958207206,1711.3393318023575,-9579.809626404849,287.6684999484482,41.2
37500,-11414.713592749711,1708.818215887407,-9705.895376862303,287.24471162080766,41.2
38000,-11448.947642872912,1713.7396307308925,-9735.20801214202,288.07197948016227,41.2
38500,-11212.592632073494,1637.0277517384043,-9575.56488033509,275.17705516684407,41.1
39000,-11421.341774250834,1715.4038329753394,-9705.937941275493,288.3517244462098,41.1
39500,-11432.819213390445,1723.6620554455942,-9709.15715794485,289.73989476761346,41.1
40000,-11273.578880824889,1742.9453092793615,-9530.633571545528,292.9813236306098,41.2
40500,-11208.71636464289,1801.459510149302,-9407.25685449359,302.81729951051324,41.2
41000,-11250.44027565367,1755.3889877635622,-9495.051287890106,295.07305041843557,41.2
41500,-11168.887163198311,1796.8756768570067,-9372.011486341304,302.04677760249416,41
42000,-11237.508564441498,1934.5166728260463,-9302.991891615451,325.1836144097936,41
42500,-11173.243010962364,1777.3013051984115,-9395.941705763953,298.756413133087,41.1
43000,-11298.829435463453,1819.3516749697617,-9479.477760493692,305.82489252207057,41.1
43500,-11303.796999463617,1832.172541193006,-9471.624458270611,307.9800228845546,41.1
44000,-11138.111505797438,1761.4291402519923,-9376.682365545446,296.08837308035123,41.1
44500,-11190.761002963787,1755.3722179085523,-9435.388785055235,295.0702314806917,41
45000,-11059.131499084868,1743.3598887781448,-9315.771610306723,293.05101259311306,41
45500,-11121.843887092258,1708.639568770434,-9413.204318321825,287.21468183816626,40.9
46000,-11184.68741544833,1698.4066479256735,-9486.280767522658,285.4945735377258,41
46500,-11112.131350659638,1690.485152824744,-9421.646197834894,284.1630055835005,41
47000,-11187.73203812503,1704.450186664186,-9483.281851460844,286.5104654131596,41
47500,-11247.863674672937,1744.721904653132,-9503.141770019805,293.2799613798221,40.9
48000,-11330.386807656689,1803.9097328195012,-9526.477074837188,303.22917100027405,40.9
48500,-11448.179320629579,1817.1111699323526,-9631.068150697227,305.44827362991924,41
49000,-11167.500614304628,1636.8847167282215,-9530.615897576406,275.15301162033364,41
49500,-11213.080790570355,1797.129439836221,-9415.951350734134,302.08943402615984,41
50000,-11177.51844341792,1847.6321070637584,-9329.88633635416,310.5787068750697,41
50500,-11181.540777933878,1847.8939782339298,-9333.646799699949,310.6227262494293,40.9
51000,-11169.101824554571,1809.6358295800933,-9359.465994974478,304.1917022967087,40.9
51500,-11202.02776018928,1742.7946802814743,-9459.233079907804,292.956003568676,40.9
52000,-11270.411654006924,1730.7242495693206,-9539.687404437604,290.92701806464976,40.9
52500,-11204.192709200415,1788.3239313814965,-9415.86877781892,300.6092673745898,40.9
53000,-11329.308550140739,1744.5448761399375,-9584.763674000802,293.2502036772482,40.9
53500,-11328.807972193083,1769.5336082530887,-9559.274363939994,297.4506979620567,40.8
54000,-11107.404919862285,1728.2904960093203,-9379.114423852965,290.517914958773,40.8
54500,-11040.347099082515,1809.9408822977582,-9230.406216784757,304.24298029638123,40.8
55000,-11129.204396523717,1795.169635043226,-9334.03476148049,301.7599995916699,40.9
